type,id,title,milestone,epic,parent,estimate,blocked_by,labels,twin,body
task,PE08-S01-T02,PE08-S01-T02 — Create update draft use-cases,W4 — Craft objects,PE08,PE08-S01,1d,PE08-S01-T01,"type:task,status:core-h1,wave:w4,area:applications,priority:p0",E08-F01-S01-T02,## Summary\nCreate update draft use-cases\n\n## Dependencies\nBlocked by: PE08-S01-T01\n\n## Estimate\n1d\n\n## Twin\nE08-F01-S01-T02\n
task,PE08-S01-T03,PE08-S01-T03 — Duplicate soft-warn,W4 — Craft objects,PE08,PE08-S01,0.5d,PE08-S01-T01,"type:task,status:core-h1,wave:w4,area:applications,priority:p0",,## Summary\nDuplicate soft-warn\n\n## Dependencies\nBlocked by: PE08-S01-T01\n\n## Estimate\n0.5d\n\n## Twin\nn/a\n
task,PE08-S04-T01,PE08-S04-T01 — Applications list UI,W4 — Craft objects,PE08,PE08-S04,1d,PE08-S01-T01;PE01-S02-T02,"type:task,status:core-h1,wave:w4,area:applications,priority:p0",E08-F03-S01-T01,## Summary\nApplications list UI\n\n## Dependencies\nBlocked by: PE08-S01-T01;PE01-S02-T02\n\n## Estimate\n1d\n\n## Twin\nE08-F03-S01-T01\n
task,PE08-S04-T02,PE08-S04-T02 — Detail editor + save,W4 — Craft objects,PE08,PE08-S04,0.5d,PE08-S01-T02,"type:task,status:core-h1,wave:w4,area:applications,priority:p0",E08-F03-S01-T02,## Summary\nDetail editor + save\n\n## Dependencies\nBlocked by: PE08-S01-T02\n\n## Estimate\n0.5d\n\n## Twin\nE08-F03-S01-T02\n
task,PE07-S01-T01,PE07-S01-T01 — DiscoverySource types + registry,W4 — Craft objects,PE07,PE07-S01,1d,PE02-S02-T03,"type:task,status:core-h1,wave:w4,area:discovery,priority:p0",E07-F01-S01-T01,## Summary\nDiscoverySource types + registry\n\n## Dependencies\nBlocked by: none\n\n## Estimate\n1d\n\n## Twin\nE07-F01-S01-T01\n
task,PE07-S01-T02,PE07-S01-T02 — CSV fixture source + RolesFound,W4 — Craft objects,PE07,PE07-S01,1d,PE07-S01-T01;PE02-S01-T02,"type:task,status:core-h1,wave:w4,area:discovery,priority:p0",E07-F02-S01-T01,## Summary\nCSV fixture source + RolesFound\n\n## Dependencies\nBlocked by: PE07-S01-T01;PE02-S01-T02\n\n## Estimate\n1d\n\n## Twin\nE07-F02-S01-T01\n
task,PE07-S02-T01,PE07-S02-T01 — Curation filter + RolesCurated,W4 — Craft objects,PE07,PE07-S02,1d,PE07-S01-T01;PE04-S04-T01,"type:task,status:core-h1,wave:w4,area:discovery,priority:p1",E07-F03-S01-T01,## Summary\nCuration filter + RolesCurated\n\n## Dependencies\nBlocked by: PE07-S01-T01;PE04-S04-T01\n\n## Estimate\n1d\n\n## Twin\nE07-F03-S01-T01\n
task,PE07-S04-T01,PE07-S04-T01 — Roles list UI + draft CTA no send,W4 — Craft objects,PE07,PE07-S04,1d,PE07-S02-T01;PE01-S02-T02,"type:task,status:core-h1,wave:w4,area:discovery,priority:p1",E07-F04-S01-T01,## Summary\nRoles list UI + draft CTA no send\n\n## Dependencies\nBlocked by: PE07-S02-T01;PE01-S02-T02\n\n## Estimate\n1d\n\n## Twin\nE07-F04-S01-T01\n
task,PE08-S02-T01,PE08-S02-T01 — Cover letter draft via FakeProvider,W4 — Craft objects,PE08,PE08-S02,1d,PE08-S01-T01;PE05-S01-T02,"type:task,status:core-h1,wave:w4,area:applications,priority:p1",,## Summary\nCover letter draft via FakeProvider\n\n## Dependencies\nBlocked by: PE08-S01-T01;PE05-S01-T02\n\n## Estimate\n1d\n\n## Twin\nn/a\n
task,PE03-S04-T01,PE03-S04-T01 — tailorDraft use-case no send,W4 — Craft objects,PE03,PE03-S04,1d,PE05-S03-T01;PE05-S01-T02,"type:task,status:core-h1,wave:w4,area:identity,priority:p0",E06-F04-S01-T02,## Summary\ntailorDraft use-case no send\n\n## Dependencies\nBlocked by: PE05-S03-T01;PE05-S01-T02\n\n## Estimate\n1d\n\n## Twin\nE06-F04-S01-T02\n
task,PE03-S04-T02,PE03-S04-T02 — Fence test tailor not send,W4 — Craft objects,PE03,PE03-S04,0.5d,PE03-S04-T01,"type:task,status:core-h1,wave:w4,area:identity,priority:p0,fence:sovereignty",,## Summary\nFence test tailor not send\n\n## Dependencies\nBlocked by: PE03-S04-T01\n\n## Estimate\n0.5d\n\n## Twin\nn/a\n
task,PE07-S03-T01,PE07-S03-T01 — Advisory job analysis use-case,W4 — Craft objects,PE07,PE07-S03,1d,PE07-S01-T01;PE05-S03-T01,"type:task,status:core-h1,wave:w4,area:discovery,priority:p1",,## Summary\nAdvisory job analysis use-case\n\n## Dependencies\nBlocked by: PE07-S01-T01;PE05-S03-T01\n\n## Estimate\n1d\n\n## Twin\nn/a\n
task,PE09-S01-T01,PE09-S01-T01 — Queue repository + enqueue,W5 — Sovereignty path,PE09,PE09-S01,1d,PE08-S01-T01,"type:task,status:core-h1,wave:w5,area:queue,priority:p0",E09-F01-S01-T01,## Summary\nQueue repository + enqueue\n\n## Dependencies\nBlocked by: PE08-S01-T01\n\n## Estimate\n1d\n\n## Twin\nE09-F01-S01-T01\n
task,PE09-S01-T02,PE09-S01-T02 — Queue.Enqueued + list UI stub,W5 — Sovereignty path,PE09,PE09-S01,0.5d,PE09-S01-T01;PE02-S02-T03,"type:task,status:core-h1,wave:w5,area:queue,priority:p0",E09-F01-S01-T02,## Summary\nQueue.Enqueued + list UI stub\n\n## Dependencies\nBlocked by: PE09-S01-T01;PE02-S02-T03\n\n## Estimate\n0.5d\n\n## Twin\nE09-F01-S01-T02\n
task,PE09-S02-T01,PE09-S02-T01 — approve reject + canSend policy,W5 — Sovereignty path,PE09,PE09-S02,1d,PE09-S01-T01;PE04-S01-T02,"type:task,status:core-h1,wave:w5,area:queue,priority:p0,fence:sovereignty",E09-F02-S01-T01,## Summary\napprove reject + canSend policy\n\n## Dependencies\nBlocked by: PE09-S01-T01;PE04-S01-T02\n\n## Estimate\n1d\n\n## Twin\nE09-F02-S01-T01\n
task,PE09-S02-T02,PE09-S02-T02 — Queue UI actions + policy contract test,W5 — Sovereignty path,PE09,PE09-S02,1d,PE09-S02-T01,"type:task,status:core-h1,wave:w5,area:queue,priority:p0,fence:sovereignty",E09-F02-S01-T03,## Summary\nQueue UI actions + policy contract test\n\n## Dependencies\nBlocked by: PE09-S02-T01\n\n## Estimate\n1d\n\n## Twin\nE09-F02-S01-T03\n
task,PE12-S01-T01,PE12-S01-T01 — Timeline repository append list,W5 — Sovereignty path,PE12,PE12-S01,1d,PE02-S01-T02,"type:task,status:core-h1,wave:w5,area:timeline,priority:p0",E13-F01-S01-T01,## Summary\nTimeline repository append list\n\n## Dependencies\nBlocked by: PE02-S01-T02\n\n## Estimate\n1d\n\n## Twin\nE13-F01-S01-T01\n
task,PE12-S01-T02,PE12-S01-T02 — Wire durable sink to timeline,W5 — Sovereignty path,PE12,PE12-S01,0.5d,PE12-S01-T01;PE02-S03-T01,"type:task,status:core-h1,wave:w5,area:timeline,priority:p0",E13-F02-S01-T01,## Summary\nWire durable sink to timeline\n\n## Dependencies\nBlocked by: PE12-S01-T01;PE02-S03-T01\n\n## Estimate\n0.5d\n\n## Twin\nE13-F02-S01-T01\n
task,PE12-S01-T03,PE12-S01-T03 — Timeline UI list,W5 — Sovereignty path,PE12,PE12-S01,0.5d,PE12-S01-T01;PE01-S02-T02,"type:task,status:core-h1,wave:w5,area:timeline,priority:p0",E13-F03-S01-T01,## Summary\nTimeline UI list\n\n## Dependencies\nBlocked by: PE12-S01-T01;PE01-S02-T02\n\n## Estimate\n0.5d\n\n## Twin\nE13-F03-S01-T01\n
task,PE10-S01-T01,PE10-S01-T01 — packages/send API + enforce canSend,W5 — Sovereignty path,PE10,PE10-S01,1d,PE09-S02-T01,"type:task,status:core-h1,wave:w5,area:send,priority:p0,fence:sovereignty",E10-F01-S01-T01,## Summary\npackages/send API + enforce canSend\n\n## Dependencies\nBlocked by: PE09-S02-T01\n\n## Estimate\n1d\n\n## Twin\nE10-F01-S01-T01\n
task,PE10-S01-T02,PE10-S01-T02 — Agent must not depend on send fence,W5 — Sovereignty path,PE10,PE10-S01,0.5d,PE10-S01-T01,"type:task,status:core-h1,wave:w5,area:send,priority:p0,fence:sovereignty",E10-F01-S01-T03,## Summary\nAgent must not depend on send fence\n\n## Dependencies\nBlocked by: PE10-S01-T01\n\n## Estimate\n0.5d\n\n## Twin\nE10-F01-S01-T03\n
task,PE10-S01-T03,PE10-S01-T03 — File-export or mailto channel stub,W5 — Sovereignty path,PE10,PE10-S01,1d,PE10-S01-T01,"type:task,status:core-h1,wave:w5,area:send,priority:p0",E10-F02-S01-T01,## Summary\nFile-export or mailto channel stub\n\n## Dependencies\nBlocked by: PE10-S01-T01\n\n## Estimate\n1d\n\n## Twin\nE10-F02-S01-T01\n
task,PE10-S01-T04,PE10-S01-T04 — Host approveAndSend + outcome toasts,W5 — Sovereignty path,PE10,PE10-S01,1d,PE10-S01-T03;PE01-S03-T02,"type:task,status:core-h1,wave:w5,area:send,priority:p0",E10-F02-S01-T02,## Summary\nHost approveAndSend + outcome toasts\n\n## Dependencies\nBlocked by: PE10-S01-T03;PE01-S03-T02\n\n## Estimate\n1d\n\n## Twin\nE10-F02-S01-T02\n
task,PE10-S02-T01,PE10-S02-T01 — EgressRecorded + unknown not success,W5 — Sovereignty path,PE10,PE10-S02,1d,PE10-S01-T03;PE12-S01-T02,"type:task,status:core-h1,wave:w5,area:send,priority:p0",E10-F04-S01-T01,## Summary\nEgressRecorded + unknown not success\n\n## Dependencies\nBlocked by: PE10-S01-T03;PE12-S01-T02\n\n## Estimate\n1d\n\n## Twin\nE10-F04-S01-T01\n
task,PE08-S03-T01,PE08-S03-T01 — StageChanged transitions post-send,W5 — Sovereignty path,PE08,PE08-S03,1d,PE10-S01-T01;PE08-S01-T01,"type:task,status:core-h1,wave:w5,area:applications,priority:p1",,## Summary\nStageChanged transitions post-send\n\n## Dependencies\nBlocked by: PE10-S01-T01;PE08-S01-T01\n\n## Estimate\n1d\n\n## Twin\nn/a\n
task,PE12-S02-T01,PE12-S02-T01 — Redaction helper + sanitized logs panel,W5 — Sovereignty path,PE12,PE12-S02,1d,PE12-S01-T03,"type:task,status:core-h1,wave:w5,area:timeline,priority:p1",E13-F03-S01-T02,## Summary\nRedaction helper + sanitized logs panel\n\n## Dependencies\nBlocked by: PE12-S01-T03\n\n## Estimate\n1d\n\n## Twin\nE13-F03-S01-T02\n
task,PE06-S01-T01,PE06-S01-T01 — Agent state machine + events,W6 — Agent & nudges,PE06,PE06-S01,1d,PE02-S02-T03,"type:task,status:core-h1,wave:w6,area:agent,priority:p0",E12-F01-S01-T01,## Summary\nAgent state machine + events\n\n## Dependencies\nBlocked by: PE02-S02-T03\n\n## Estimate\n1d\n\n## Twin\nE12-F01-S01-T01\n
task,PE06-S01-T02,PE06-S01-T02 — IPC start pause + Agent UI,W6 — Agent & nudges,PE06,PE06-S01,1d,PE06-S01-T01;PE01-S03-T02,"type:task,status:core-h1,wave:w6,area:agent,priority:p0",E12-F01-S01-T02,## Summary\nIPC start pause + Agent UI\n\n## Dependencies\nBlocked by: PE06-S01-T01;PE01-S03-T02\n\n## Estimate\n1d\n\n## Twin\nE12-F01-S01-T02\n
task,PE06-S02-T01,PE06-S02-T01 — Prep orchestration draft tailor enqueue,W6 — Agent & nudges,PE06,PE06-S02,1.5d,PE06-S01-T01;PE08-S01-T02;PE09-S01-T01,"type:task,status:core-h1,wave:w6,area:agent,priority:p0",E12-F02-S01-T03,## Summary\nPrep orchestration draft tailor enqueue\n\n## Dependencies\nBlocked by: PE06-S01-T01;PE08-S01-T02;PE09-S01-T01\n\n## Estimate\n1.5d\n\n## Twin\nE12-F02-S01-T03\n
task,PE06-S02-T02,PE06-S02-T02 — Integration prep never calls send,W6 — Agent & nudges,PE06,PE06-S02,1d,PE06-S02-T01;PE10-S01-T02,"type:task,status:core-h1,wave:w6,area:agent,priority:p0,fence:sovereignty",E12-F02-S01-T04,## Summary\nIntegration prep never calls send\n\n## Dependencies\nBlocked by: PE06-S02-T01;PE10-S01-T02\n\n## Estimate\n1d\n\n## Twin\nE12-F02-S01-T04\n
task,PE11-S01-T01,PE11-S01-T01 — Follow-up entity + schedule after send,W6 — Agent & nudges,PE11,PE11-S01,1.5d,PE08-S03-T01;PE02-S01-T02,"type:task,status:core-h1,wave:w6,area:scheduler,priority:p1",E11-F01-S01-T01,## Summary\nFollow-up entity + schedule after send\n\n## Dependencies\nBlocked by: PE08-S03-T01;PE02-S01-T02\n\n## Estimate\n1.5d\n\n## Twin\nE11-F01-S01-T01\n
task,PE11-S03-T01,PE11-S03-T01 — Scheduler job store + time-travel test,W6 — Agent & nudges,PE11,PE11-S03,1.5d,PE11-S01-T01,"type:task,status:core-h1,wave:w6,area:scheduler,priority:p1",E11-F02-S01-T01,## Summary\nScheduler job store + time-travel test\n\n## Dependencies\nBlocked by: PE11-S01-T01\n\n## Estimate\n1.5d\n\n## Twin\nE11-F02-S01-T01\n
task,PE11-S02-T01,PE11-S02-T01 — Due notify + quiet hours defer,W6 — Agent & nudges,PE11,PE11-S02,1d,PE11-S03-T01;PE04-S02-T01,"type:task,status:core-h1,wave:w6,area:scheduler,priority:p1",E11-F03-S01-T01,## Summary\nDue notify + quiet hours defer\n\n## Dependencies\nBlocked by: PE11-S03-T01;PE04-S02-T01\n\n## Estimate\n1d\n\n## Twin\nE11-F03-S01-T01\n
task,PE11-S04-T01,PE11-S04-T01 — Follow-ups UI list + dismiss,W6 — Agent & nudges,PE11,PE11-S04,1d,PE11-S01-T01,"type:task,status:core-h1,wave:w6,area:scheduler,priority:p1",E11-F04-S01-T01,## Summary\nFollow-ups UI list + dismiss\n\n## Dependencies\nBlocked by: PE11-S01-T01\n\n## Estimate\n1d\n\n## Twin\nE11-F04-S01-T01\n
task,PE11-S04-T02,PE11-S04-T02 — Send follow-up via canSend path,W6 — Agent & nudges,PE11,PE11-S04,0.5d,PE11-S04-T01;PE10-S01-T01,"type:task,status:core-h1,wave:w6,area:scheduler,priority:p1,fence:sovereignty",E11-F04-S01-T03,## Summary\nSend follow-up via canSend path\n\n## Dependencies\nBlocked by: PE11-S04-T01;PE10-S01-T01\n\n## Estimate\n0.5d\n\n## Twin\nE11-F04-S01-T03\n
task,PE13-S01-T01,PE13-S01-T01 — First-run flag + step shell,W7 — First-run polish,PE13,PE13-S01,0.5d,PE04-S01-T01,"type:task,status:core-h1,wave:w7,area:onboarding,priority:p1",E14-F01-S01-T01,## Summary\nFirst-run flag + step shell\n\n## Dependencies\nBlocked by: PE04-S01-T01\n\n## Estimate\n0.5d\n\n## Twin\nE14-F01-S01-T01\n
task,PE13-S01-T02,PE13-S01-T02 — Onboarding step resume import,W7 — First-run polish,PE13,PE13-S01,1d,PE13-S01-T01;PE03-S02-T02,"type:task,status:core-h1,wave:w7,area:onboarding,priority:p1",E14-F01-S01-T02,## Summary\nOnboarding step resume import\n\n## Dependencies\nBlocked by: PE13-S01-T01;PE03-S02-T02\n\n## Estimate\n1d\n\n## Twin\nE14-F01-S01-T02\n
task,PE13-S01-T03,PE13-S01-T03 — Onboarding step approval + Agent chrome,W7 — First-run polish,PE13,PE13-S01,1d,PE13-S01-T01;PE04-S01-T02;PE04-S03-T01,"type:task,status:core-h1,wave:w7,area:onboarding,priority:p1",E14-F01-S01-T03,## Summary\nOnboarding step approval + Agent chrome\n\n## Dependencies\nBlocked by: PE13-S01-T01;PE04-S01-T02;PE04-S03-T01\n\n## Estimate\n1d\n\n## Twin\nE14-F01-S01-T03\n
task,PE-QA-T01,PE-QA-T01 — Resume not sent without send path,W7 — First-run polish,PE10,PE-QA,0.5d,PE10-S01-T03,"type:task,status:core-h1,wave:w7,fence:sovereignty,priority:p0",E13-QA-T01,## Summary\nResume not sent without send path\n\n## Dependencies\nBlocked by: PE10-S01-T03\n\n## Estimate\n0.5d\n\n## Twin\nE13-QA-T01\n
task,PE-QA-T02,PE-QA-T02 — Approval gate integration test,W7 — First-run polish,PE10,PE-QA,0.5d,PE10-S01-T01;PE09-S02-T01,"type:task,status:core-h1,wave:w7,fence:sovereignty,priority:p0",E13-QA-T02,## Summary\nApproval gate integration test\n\n## Dependencies\nBlocked by: PE10-S01-T01;PE09-S02-T01\n\n## Estimate\n0.5d\n\n## Twin\nE13-QA-T02\n
task,PE-QA-T03,PE-QA-T03 — Badge honesty remote not On-device,W7 — First-run polish,PE04,PE-QA,0.5d,PE04-S03-T01,"type:task,status:core-h1,wave:w7,fence:sovereignty,priority:p0",E13-QA-T03,## Summary\nBadge honesty remote not On-device\n\n## Dependencies\nBlocked by: PE04-S03-T01\n\n## Estimate\n0.5d\n\n## Twin\nE13-QA-T03\n
task,PE-QA-T04,PE-QA-T04 — Keyboard approve path,W7 — First-run polish,PE09,PE-QA,0.5d,PE09-S02-T02,"type:task,status:core-h1,wave:w7,fence:sovereignty,priority:p0",E13-QA-T05,## Summary\nKeyboard approve path\n\n## Dependencies\nBlocked by: PE09-S02-T02\n\n## Estimate\n0.5d\n\n## Twin\nE13-QA-T05\n
story,PE05-S04,PE05-S04 — Optional remote AI Provider,W8 — Experimental (parked),PE05,PE05-S04,2d,PE05-S01,"type:story,status:experimental,wave:w8,area:ai,parked,priority:p2",,## Summary\nOptional remote AI Provider\n\n## Dependencies\nBlocked by: PE05-S01\n\n## Estimate\n2d\n\n## Twin\nn/a\n
story,PE14-S01,PE14-S01 — Store knowledge entries locally,W8 — Experimental (parked),PE14,PE14-S01,2d,PE02-S01,"type:story,status:experimental,wave:w8,parked,priority:p1",,## Summary\nStore knowledge entries locally\n\n## Dependencies\nBlocked by: PE02-S01\n\n## Estimate\n2d\n\n## Twin\nn/a\n
story,PE16-S01,PE16-S01 — Application Workflow to Wait for Approval,W8 — Experimental (parked),PE16,PE16-S01,3d,PE06-S01;PE08-S01;PE09-S01,"type:story,status:experimental,wave:w8,parked,priority:p1",,## Summary\nApplication Workflow to Wait for Approval\n\n## Dependencies\nBlocked by: PE06-S01;PE08-S01;PE09-S01\n\n## Estimate\n3d\n\n## Twin\nn/a\n
story,PE21-S01,PE21-S01 — Record application outcome,W9 — Future (parked),PE21,PE21-S01,1d,PE08-S03,"type:story,status:future,wave:w9,parked,priority:p3",,## Summary\nRecord application outcome\n\n## Dependencies\nBlocked by: PE08-S03\n\n## Estimate\n1d\n\n## Twin\nn/a\n
story,PE26-S01,PE26-S01 — Export my data on request,W9 — Future (parked),PE26,PE26-S01,1d,PE02-S01;PE03-S01,"type:story,status:future,wave:w9,parked,priority:p3",,## Summary\nExport my data on request\n\n## Dependencies\nBlocked by: PE02-S01;PE03-S01\n\n## Estimate\n1d\n\n## Twin\nn/a\n
